,RD_KIT_Desc,Synthesis_Metric,P_Value
415,NumHeteroatoms,Avg_roundness,0.01274620123424151
416,EState_VSA9,mean_particle_size_(mps),0.012729860390606302
417,PEOE_VSA1,Solvent,0.012728517609097044
418,Chi4v,Avg_roundness,0.012703524895401939
419,SMR_VSA9,Solvent,0.012662481869696634
420,SlogP_VSA11,Solvent,0.012662481869696634
421,PEOE_VSA9,Full_molecule,0.012633786386739718
422,SMR_VSA1,mean_particle_size_(mps),0.012577429717245736
423,NumHAcceptors,Conc of comp,0.012532276017238005
424,VSA_EState3,Polar_dispersity,0.01251512240789048
425,PEOE_VSA9,hydrophbic_section,0.01250168528501622
426,SlogP_VSA2,Polar_dispersity,0.012484760159441348
427,PEOE_VSA9,hydrophilic_section,0.01246979829541131
428,Chi0,mean_particle_size_(mps),0.012462280405587393
429,VSA_EState6,Std_dev_(mps),0.01244402114064892
430,BCUT2D_LOGPLOW,sq,0.01241818786430326
431,Kappa3,Std_dev_(mps),0.012402322941027328
432,SlogP_VSA2,Area_Sphere_Substance,0.012390197060597529
433,VSA_EState3,Area_Sphere_Substance,0.012287283895769217
434,Chi3v,Avg_area,0.012256924517063719
435,PEOE_VSA9,Polar_dispersity,0.012198315426620926
436,PEOE_VSA9,Area_Sphere_Substance,0.01211657640204186
437,HeavyAtomMolWt,Std_dev_(mps),0.012106391586684438
438,Chi0n,kur,0.01209047777660355
439,SlogP_VSA2,Conc of comp,0.012000216209187606
440,Chi2n,Std_dev_(mps),0.011978745733595737
441,PEOE_VSA10,mean_particle_size_(mps),0.011937720539868133
442,Chi2n,ssk,0.011924720806161445
443,VSA_EState1,mean_particle_size_(mps),0.011907219279942923
444,VSA_EState8,Std_dev_(mps),0.011877623048565109
445,Chi0v,mean_particle_size_(mps),0.01183604580468642
446,PEOE_VSA9,Conc of comp,0.011778729929757651
447,BCUT2D_CHGLO,sq,0.01177769372877845
448,NumHAcceptors,Std_dev_(mps),0.01171430558128939
449,MaxAbsEStateIndex,Std_dev_(mps),0.01157072073360891
450,MaxEStateIndex,Std_dev_(mps),0.01157072073360891
451,SlogP_VSA3,ssk,0.011506634984668584
452,PEOE_VSA1,mean_particle_size_(mps),0.011452901380114063
453,VSA_EState3,mean_particle_size_(mps),0.011400050287679736
454,Chi0n,mean_particle_size_(mps),0.01137974359553111
455,VSA_EState3,Conc of comp,0.011372994988608857
456,SlogP_VSA10,T of solv,0.011326058860580053
457,PEOE_VSA13,T of comp,0.011326058860580053
458,SlogP_VSA10,T of comp,0.011326058860580053
459,PEOE_VSA13,T of solv,0.011326058860580053
460,BertzCT,Comp,0.011159069163094263
461,SlogP_VSA1,Std_dev_(mps),0.011154907043398913
462,NOCount,Std_dev_(mps),0.011134284824194424
463,PEOE_VSA1,Avg_area,0.011122105763831555
464,FpDensityMorgan3,Full_molecule,0.011114935405503014
465,Chi3v,Std_dev_(mps),0.011095570332651804
466,Chi3n,Avg_roundness,0.011079440301948443
467,PEOE_VSA1,Avg_roundness,0.011006392210734546
468,SlogP_VSA1,Conc of comp,0.010950001053839892
469,BCUT2D_MRHI,Std_dev_(mps),0.010941730916718044
470,MaxAbsEStateIndex,T of solv,0.01092211810016538
471,MaxAbsEStateIndex,T of comp,0.01092211810016538
472,MaxEStateIndex,T of solv,0.01092211810016538
473,MaxEStateIndex,T of comp,0.01092211810016538
474,NumHeteroatoms,Full_molecule,0.010767994423268996
475,SlogP_VSA3,Solvent,0.010763390799360366
476,Chi1,mean_particle_size_(mps),0.010752447662973268
477,ExactMolWt,Std_dev_(mps),0.010693522009328287
478,Chi4n,hydrophbic_section,0.010648002534148075
479,PEOE_VSA10,ssk,0.010622805556613867
480,fr_benzene,Full_molecule,0.01059383557411701
481,NumAromaticCarbocycles,Full_molecule,0.01059383557411701
482,NumAromaticRings,Full_molecule,0.01059383557411701
483,SlogP_VSA3,mean_particle_size_(mps),0.010588375601152163
484,MolLogP,Std_dev_(mps),0.010585819409031109
485,MolWt,Std_dev_(mps),0.010570351722355239
486,SMR_VSA9,Avg_area,0.010567840341261918
487,SlogP_VSA11,Avg_area,0.010567840341261918
488,VSA_EState10,Std_dev_(mps),0.01047406233375762
489,PEOE_VSA13,Std_dev_(mps),0.01044861578648957
490,SlogP_VSA10,Std_dev_(mps),0.01044861578648957
491,VSA_EState2,mean_particle_size_(mps),0.01044803160106054
492,EState_VSA3,mean_particle_size_(mps),0.010264435388896168
493,Chi4v,Std_dev_(mps),0.010246107283580129
494,PEOE_VSA10,Solvent,0.010203927067533215
495,EState_VSA10,mean_particle_size_(mps),0.010194806758917162
496,FpDensityMorgan1,Area_Sphere_Substance,0.010192810104188915
497,Chi4n,hydrophilic_section,0.01018631229334776
498,SPS,mean_particle_size_(mps),0.010148955868438551
499,NumHeteroatoms,hydrophbic_section,0.010142282423166461
500,Chi1v,mean_particle_size_(mps),0.010140298599721653
501,PEOE_VSA8,mean_particle_size_(mps),0.010136643319469455
502,Chi3v,T of comp,0.010134572896844805
503,Chi3v,T of solv,0.010134572896844805
504,PEOE_VSA1,Full_molecule,0.0101187276808888
505,EState_VSA5,kur,0.010059044256128916
506,Chi2n,Solvent,0.010057604225214338
507,SlogP_VSA4,mean_particle_size_(mps),0.010049874594538148
508,EState_VSA1,mean_particle_size_(mps),0.01002985027575784
509,NumHeteroatoms,hydrophilic_section,0.009999752066242772
510,SlogP_VSA11,mean_particle_size_(mps),0.009956090221678827
511,SMR_VSA9,mean_particle_size_(mps),0.009956090221678827
512,Chi3n,Std_dev_(mps),0.009931197636293437
513,Chi2v,mean_particle_size_(mps),0.009890638721493723
514,Kappa2,mean_particle_size_(mps),0.009882645857487214
515,PEOE_VSA1,hydrophbic_section,0.009821373642216588
516,EState_VSA7,Std_dev_(mps),0.009799931388102945
517,Chi1n,mean_particle_size_(mps),0.009791154435786391
518,BCUT2D_MWLOW,mean_particle_size_(mps),0.009765177830529452
519,PEOE_VSA2,mean_particle_size_(mps),0.009754303404010142
520,PEOE_VSA1,hydrophilic_section,0.009751218927201322
521,SlogP_VSA11,Avg_roundness,0.009749929133828683
522,SMR_VSA9,Avg_roundness,0.009749929133828683
